benchmark,pktsize,config,snabb,kernel,qemu,dpdk,id,score,unit,hardware
esp-tunnel,1000,encapsulate,ipsec,,,,6,177768493778,cycles,breiberg
esp-tunnel,1000,encapsulate,ipsec,,,,7,14.60,Gbps,breiberg
esp-tunnel,1000,encapsulate,ipsec,,,,7,178579068838,cycles,breiberg
esp-tunnel,1000,encapsulate,ipsec,,,,8,14.42,Gbps,breiberg
esp-tunnel,1000,encapsulate,ipsec,,,,8,180075261384,cycles,breiberg
esp-tunnel,1000,encapsulate,ipsec,,,,9,14.66,Gbps,breiberg
esp-tunnel,1000,encapsulate,ipsec,,,,9,177914319066,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,1,16.83,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,1,232415386668,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,10,16.82,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,10,232508302500,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,2,16.63,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,2,235151382720,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,3,16.76,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,3,233328814356,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,4,16.83,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,4,232415316569,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,5,16.62,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,5,235272179417,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,6,16.83,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,6,232338304174,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,7,16.66,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,7,234771180516,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,8,16.83,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,8,232466600444,cycles,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,9,16.80,Gbps,breiberg
esp-tunnel,1500,encapsulate,ipsec,,,,9,232871950754,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,1,8.01,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,1,81366248522,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,10,8.01,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,10,81387985065,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,2,7.89,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,2,82579461392,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,3,8.00,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,3,81501882305,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,4,7.75,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,4,84156055860,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,5,7.63,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,5,85409115063,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,6,8.02,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,6,81286626544,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,7,8.00,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,7,81466051620,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,8,7.99,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,8,81545057352,cycles,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,9,8.02,Gbps,breiberg
esp-tunnel,250,encapsulate,ipsec,,,,9,81314165090,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,1,10.79,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,1,120781829504,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,10,10.81,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,10,120580346884,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,2,10.87,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,2,119952203620,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,3,10.77,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,3,121071978525,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,4,10.70,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,4,121862623544,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,5,10.85,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,5,120206862536,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,6,10.80,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,6,120687416732,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,7,10.83,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,7,120409173640,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,8,10.74,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,8,121394921624,cycles,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,9,10.80,Gbps,breiberg
esp-tunnel,500,encapsulate,ipsec,,,,9,120774373272,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,1,3.47,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,1,45055173838,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,10,3.42,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,10,45714837771,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,2,3.41,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,2,45877717540,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,3,3.38,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,3,46231873210,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,4,3.45,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,4,45380143300,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,5,3.44,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,5,45467505270,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,6,3.44,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,6,45468048142,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,7,3.44,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,7,45475741186,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,8,3.45,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,8,45337456592,cycles,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,9,3.47,Gbps,breiberg
esp-tunnel,60,encapsulate,ipsec,,,,9,45055102720,cycles,breiberg
